ID,Text,Annotation,Comments,Flag,Chair,Annotation values
ParlaMint-SI_2013-11-22-SDZ6-Redna-19.u93,"Hvala lepa tudi vam. Gospod Mihael Prevc, naslednji ste prijavljeni k besedi.",P_Neutral,,,TRUE,Positive
ParlaMint-SI_2015-01-26-SDZ7-Redna-04.u152,"Hvala lepa za besedo. Spoštovane ministrice, minister, kolegice in kolegi! Upam, da bo moje današnje vprašanje tudi na vaše veselje, da boste lahko postregli s kakšnimi dobrimi novicami, gospa ministrica, kot je bilo to prejšnjič. Namreč, v Sloveniji bi lahko vsako gospodinjstvo že imelo, čas bi bil, da bi imelo zdravo pitno vodo. Ravno tako je država obljubila Evropski uniji, da bo do konca leta 2017 vsa odpadna voda prečiščena, spuščena v podtalnico. Bojim se, da če tega ne bo, pa sigurno ne bo, bomo dobili kazen, tako kot sosednja država, in bo ta kazen seveda preložena na uporabnike, to se pravi na položnice, ker bodo potem ljudje plačevali to kazen. V ta namen je 11 kohezijskih projektov v vrednosti preko 200 milijonov. Projekti so na območju 34 občin, ki obsegajo približno tretjino vsega prebivalstva v Sloveniji. Občine so porabile preko 7 milijonov evrov za pripravo teh projektov, imajo izbrane izvajalce, ki že eno leto plačujejo bančno garancijo, podaljšujejo bančno garancijo in čakajo, da se bodo ti projekti začeli izvajati. V primeru, da iz tega ne bo nič, bodo morale občine plačevati še kazni tem izvajalcem, ker bodo prekinili pogodbe. Operativni program je sprejet na področju kohezije, zdaj je na vrsti država Slovenija oziroma ministrstvo, da sprejme strategijo oziroma uredbo in pravila. Moje vprašanje je, gospa ministrica: Kako daleč ste? V prejšnjem poslanskem vprašanju sem tudi na to apeliral, da se vključijo investitorji v pripravo projektov, v spremembe, karkoli, glede na cilje nove finančne perspektive, da bi čim prej prišli do odločb, ko bodo uredba in pravila sprejeta na nivoju države. Zato je moje vprašanje: Kdaj lahko pričakujejo te odločbe in kakšen bo odstotek sofinanciranja? Ali bo tak, kot je bil obljubljen takrat, ko so se projekti pripravljali, to je 85 % upravičenih stroškov?",M_Negative,"First two sentences seem to be positive, however, the speaker then outlines several negative points in the current state of affairs and ends with relatively charged questions. However, it could also be Negative, as the first part could potentially be sarcastic",TRUE,FALSE,P_Neutral
ParlaMint-SI_2006-11-29-SDZ4-Redna-22.u165,"Kolega Slavko Gaber, v temu trenutku vam lahko dam repliko. Ali jo boste izkoristili, drugače vam dam v drugem momentu besedo.",P_Neutral,,,TRUE,N_Neutral
ParlaMint-SI_2001-03-01-SDZ3-Redna-03.u116,"Moram replicirati. Kolega Moge - ne moram, ampak hočem. Glejte, če bomo razširili to zadevo bolj, kot predlaga vlada v tem primeru in kot predlaga odbor za kulturo, šolstvo in tako naprej, bomo seveda prišli v pozicijo, da ne bomo vedeli, kdo naj da to mnenje. Vam bom dal primer. Člani uredništva so lahko zelo širok pojem, če jih ne omejimo na redno zaposlene. Radijska postaja, manjša radijska postaja ali pa večja, recimo, manjša radijska postaja ima vsaka - in podobno je tudi za druge medije - množico dopisnikov, ki se, recimo, pojavijo enkrat na mesec z eno vestičko, ki je hvale vredna in dobrodošla temu mediju, o neki gasilski veselici ali se kaj večjega zgodi v tistem kraju. Seveda, tudi on je sodelavec in na nek način član tega uredništva, ker ima pogodbo, tako kot tisti, ki pripravlja triurno oddajo. Tu seveda velike razlike ni,oba imata pogodbo o delu. Ločitev je samo v kategoriji redno zaposlenih in tistih, ki niso redno zaposleni. Zato mislim, da bi to podprli, seveda predlog vlade in ne odbora. Hvala lepa.",Negative,Speaker presents arguments on why the proposal of the Committee is not suitable and why the governmental proposal should be supported. He outlines the negtive consequences that can occur should they support the Committee proposal.,,FALSE,M_Positive
ParlaMint-SI_2021-12-16-SDZ8-Redna-28.u22,"Hvala za besedo, podpredsednica. Lep pozdrav vsem prisotnim, posebej državnemu sekretarju, predstavniku Vlade! Danes odločamo o spremembah in dopolnitvah Zakona o spodbujanju investicij. Gre za enega ključnih reformno naložbenih dokumentov v okviru nacionalnega programa za okrevanje in odpornost, ki bo preko investicij v višjo produktivnost in zelene tehnologije dolgoročno okrepil produktivnost slovenskega gospodarstva. Naše gospodarstvo se uspešno pobira po udarcu, ki mu ga je prizadejala pandemija covida-19. Da bi nadaljevali z ustvarjanjem dobre gospodarske klime, moramo spodbuditi ustrezne zakonske podlage za nadaljnje izvrševanje naših investicijskih načrtov. Prav tako si moramo prizadevati za to, da pripravimo podlago za učinkovito rabo evropskih sredstev, ki bodo namenjena projektom, vključenim v naš Načrt za okrevanje in odpornost. Ta mehanizem namreč zagotavlja finančno podporo za reforme in naložbe, ki bodo tudi v prihodnje pripomogle k blaženju gospodarskih in socialnih učinkov pandemije koronavirusa. Z dopolnitvami Zakona o spodbujanju investicij se bo torej omogočilo spodbujanje investicijskih projektov v prednostnih sektorjih, ki so bili izbrani na podlagi večnivojskega pristopa in so vključeni v naš Načrt za okrevanje in odpornost. Pomemben del tega načrta, težak kar 88,5 milijona evrov, je predviden za reforme, povezane s produktivnejšim gospodarstvom, digitalnim razvojem in zelenim prehodom. Naše institucije so v zahtevnih epidemioloških razmerah sprejele učinkovite in hitre gospodarske ukrepe, ki so močno ublažili padec gospodarske aktivnosti. Tudi napovedi, ki zadevajo gospodarsko rast v prihajajočih obdobjih, so relativno dobre. Kljub ugodnemu makroekonomskemu okolju in spodbudnim napovedim pa je okrevanje še vedno potrebno, saj celotnega vpliva zdravstvene krize na gospodarstvo še vedno ni mogoče natančno oceniti. Ob tem naj dodamo še, da institucije, kot so Evropska komisija, Mednarodni denarni sklad in OECD, opozarjajo, da se po koncu epidemije od nacionalnih gospodarstev ne pričakuje zgolj povrnitev na predkrizno raven, temveč tudi jasna strategija naslavljanja izzivov, kot sta digitalizacija in zeleni prehod. Novela Zakona o spodbujanju investicij je po našem mnenju korak v pravo smer, saj se moramo v trenutnih razmerah na vsak način izogniti morebitnim negativnim spremembam v investicijski dinamiki. Zato se nam zdi ključno, da v teh zahtevnih časih ne prenehamo s podporo razvoju našega gospodarstva, temveč da naredimo vse, kar je v naši moči, in mu priskrbimo dodatna investicijska sredstva. To je še posebej pomembno, če je namen teh sredstev usklajen z našimi osrednjimi cilji na gospodarskem področju, kot so dvig dodane vrednosti, trajnostni razvoj ter zelen in digitalen prehod. Za konec pa bi ponovno želeli opozoriti na to, da je gospodarstvo generator blaginje razvoja in socialne varnosti države. Dejstvo je namreč, da bi se morebitna blokada izvajanja našega Načrta za okrevanje in odpornost, z njo pa tudi znižanje predvidenih sredstev, namenjenih gospodarskim investicijam, slej ko prej poznala tudi na preostalih družbenih podsistemih. Na podlagi navedenih dejstev bomo v naši poslanski skupini novelo zakona podprli. Hvala lepa.",Positive,"At the end there is a slight negative connotation, but the overall tone of the speech is positive, albeit a bit weak. ",,FALSE,M_Negative
ParlaMint-SI_2004-05-17-SDZ3-Redna-36.u231,"Hvala lepa. Lep pozdrav vsem. V mesecu avgustu, v času kislih kumaric, daleč od oči javnosti je vlada po mizerni ceni 450 milijonov prodala 83% delež podjetja Sistemska tehnika, do tedaj dela Slovenskih železarn. To podjetje je pred tem dobilo za več milijard državnih naročil za izdelavo vojaške opreme in po mnenju poznavalcev je dobiček samo pri tem poslu večji od vrednosti kupnine za 80% delnic, ki ga je iztržila vlada. Čeprav smo mnogi pozvali premiera Ropa k razveljavitvi škodljive pogodbe, se ni zgodilo nič. Konec novembra je Viator Vektor manjšinski delež prodal firmi Steier, ki je v ameriški lasti, za višjo kupnino, kot jo je prej plačal državi za 83% delež. 3. 12. 2003 je predsednik vlade gospod Rop po burnih reakcijah medijev in civilne javnosti, da gre za koruptivne posle, zahteval preverjanje smotrne prodaje Sistemske tehnike. Očitno je šlo za politični blef, kako bo vlada vse preverila, saj javnosti do danes, čeprav je minilo 6 mesecev, ni bilo sporočeno ničesar o tej preverbi smotrnosti prodaje. Tudi na hearingu gospoda ministra se je pokazalo, da o tem predsednik Rop ni niti govoril o tem z vami, niti vas ni obvestil, tako da je skrajni čas, da javnost izve, ali je sploh bilo kaj preverjeno. Med tem časom sem se prepričal, da vlada Sovi ni naročila nobene poizvedbe, ali je bil ta posel s tujci dogovorjen že pred tem, ko se je od države prodalo Viator Vektorju. Več kot očitno je, da je šlo za politični blef, da se bo nekaj preverilo, da se to dela regularno in zaradi tega vas prosim, da daste odgovore. Hkrati pa bi vprašal: Kaj boste storili kot novi minister za gospodarstvo, da bo v Slovenijo prihajal v prihodnje neproblematičen, nešpekulativen kapital, ki bo s sobo prinašal tudi nova delovna mesta? Kaj boste storili, da se kar naprej ne bo dogajalo, da bo dobra podjetja država poceni prodala prijateljem visokih funkcionarjev vlade, ti pa potem preprodajali po večkratni ceni, ob prepuščanju zaposlenih na milost in nemilost tujih lastnikov? Zakaj vlada ne želi ali ni zainteresirana za prodajo svojega premoženja po ekonomski ceni v korist države in državljanov, ampak raje skrbi za super dobičke političnih podpornikov? Ob takih ravnanjih vlade se zdrav, nešpekulativen kapital Sloveniji seveda izogiba, kar se je pokazalo tudi s padcem Slovenije na lestvici konkurenčnosti. Hvala lepa.",Negative,,,FALSE,Negative
ParlaMint-SI_2012-12-21-SDZ6-Izredna-24.u44,"Hvala za besedo, gospod podpredsednik. Vprašati bi se bilo treba, zakaj je do te pobude sploh prišlo, in način sprejemanja in oblikovanja zakona o izvrševanju proračuna pove marsikaj. Zakonodajno-pravna služba je povedala, da zakon, ki bi moral biti zgolj tehnične narave, daje vladi veliko možnosti za naknadno prerazporejanje sredstev med proračunskimi postavkami. Zdaj poslušati predavanja o tem, da smo pravna in socialna država po tistem, ko Vlada varčuje na slehernem koraku, in ko se bo s tem proračunom, ki bo stopil v veljavo v letu 2013, zmanjšal obseg pravic na celi vrsti ravni, ko je Vlada uspešno podkurila nasprotovanje med realnim in javnim sektorjem, da se zdaj oglašajo tisti in ne razumejo, da sindikalistom v trenutku, ko se Vlada ni hotela pogajati, niso ostala druga sredstva kot tista, da nekako dopovedo, da se je pogovarjati treba. Samo na eno izkušnjo bom spomnila. V torek, 30., je tik pred vložitvijo oziroma zbiranjem podpisov za referendum potekalo tudi pogajanje med sindikatom in med finančnim ministrstvom. V trenutku, ko je bilo sporočeno, da pobudnikom ni uspelo zbrati dovolj glasov, je minister vstal in odšel, ker se mu ni zdelo več vredno pogajati s sindikati. To je kultura pogajanja. Kaj slišimo zdaj? Po odločbi Ustavnega sodišča je bilo na nacionalnem radiu mogoče slišati to ministrovo izjavo. Glede današnje odločitve Ustavnega sodišča pričakujem, da referenduma o proračunu ne bo in zato ne vem, zakaj bi se pogajali z njegovimi vlagatelji. Tu je srž problema. Nespoštovanje do socialnega dialoga, do ljudi, da se upa tukaj kar tako govoriti o tem, kdo je tisti, ki vlaga. Saj je državljan te države in ima ustavno pravico, samo pogoje mora izpolniti. Tako, da veste, to je zamegljevanje stari. Moram priznati, da se prej nisem ravno vzorno vedla, ker sem tudi kak medklic povedala, ampak, ko se vodja največje koalicijske stranke vede tako, da tukaj javno laže, potem kaj drugega niti ne ostane, če nimaš časa za razpravo. Določen je bil čas, in če pogledate, da je kot predlagatelj imel 45 minut časa plus 15 uvodnih minut, pa še za poslansko skupino, mi pa 10 minut vsega skupaj, potem je enakovreden dialog nemogoč. Zakaj beseda laž? Ko bo opravljena, upam da, korektna strokovna analiza učinkov Zakona o uveljavljanju pravic iz javnih sredstev – upam, da Vlada ne bo posegala v tisto poročilo, tako kot je vzornica Angela Merkel posegla v poročilo v Nemčiji – in ko bo to poročilo dostopno po preliminarnih ugotovitvah, je Zakon o uveljavljanju pravic iz javnih sredstev dosegel svoj temeljni namen, to je, da so ukrepi ciljani, da pomoči najbolj potrebni, dobijo več pomoči. Povišanje minimalne plače in udeležba delavcev pri dobičku – resda ne obvezna, tako kot smo Socialni demokrati to želeli – sta samo dva ukrepa, ki ne letita na tiste, ki so najvišje, ampak na tiste, ki so prizadeti. Še zadnja stvar. Za amandmaja, ki sta bila sprejeta v proračunu in zaradi katerih je opozicija prvič v tej državi podprla proračun, kaže, da bosta speljana v zelo čudne vode. Ministrovo in tudi Tankovo govorjenje o tem že kaže, da ne bosta izpeljana, tako kot je bilo nameravano. To, kar se je pa dogajalo včeraj na odboru z Zakonom o šolski prehrani, je pravna šlamastika za ta državni zbor in žal mi je, da se to dogaja v tej državi. Hvala.",Negative,,,FALSE,
ParlaMint-SI_2015-07-10-SDZ7-Redna-10.u224,"Hvala. Spoštovani vsi, ki spremljate to razpravo! Govorimo o sistemski korupciji, ki jo je Slovenija ena od prvih priznala, da kot takšno imamo in da bomo pristopili k njenemu odpravljanju. To vidim kot en korak k odpravljanju sistemske korupcije, ki sicer širša, posebej bi izpostavil tisti zakonodajni prevzem države. Ta organ bi lahko zaživel, če bomo ustrezno in skupaj z nekimi močmi zastavili v pravo smer, ob upoštevanju seveda človekovih pravic. Kaj sedaj že imamo na tem področju? Na kazenskem področju policijo in tožilstvo. Oni odkrivajo te velike projekte, kaj je kaznivih dejanj. Finančna odgovornost, finančne institucije, Ministrstvo za finance in ostala ministrstva, kar imajo pristojnosti z raznimi inšpekcijami in ostali. In seveda potem politična odgovornost, ki jo po eni strani razkrivajo preiskovalni novinarji, nevladne organizacije in sama parlamentarna komisija, ki smo ustanovili za te namene. Skupni imenovalec vsemu temu je t. i. beloovratniška kriminaliteta, dobri strokovnjaki na finančnem in drugih področjih, ki nekako parirajo državnim institucijam. Kje jaz vidim te probleme? Odgovor je v močni državi, ne številčno velikih, vendar strokovno podkovanih institucijah. Največje vprašanje, ki ga vidim, je sodelovanje številnih institucij. Že več let ugotavljam, da te institucije medsebojno zelo slabo sodelujejo, in sem že večkrat predlagal, da država potrebuje organ, ki bo omogočal večje sodelovanje. Drugi problem je preregulacija. Zakoni so medsebojno neusklajeni, pooblastila se večkrat strižejo in so nejasni. In zadnji problem, da so ta dejanja kompleksna in zato moramo tudi nuditi takšne odgovore. Recimo, na tem področju smo ustanavljali že številne institucije, za NPU sem takrat bil edini, ki sem opozarjal, da bo prihajalo do nekaterih napak, in sem se takrat zavzemal za zelo močno kriminalistično službo, kot smo jo nekoč že imeli. Imamo tudi specializirane preiskovalne skupine, ki so namenjene temu sodelovanju na predlog tožilstva in ocene tudi s strani evropskih institucij so, da je pri nas najšibkejši člen ravno tožilstvo, ki pa bi moralo voditi te skupine. Se pravi, tukaj smo še šibki. Potem, ker vemo, da so ti veliki projekti večino podprti s strani institucij Evropske unije ali pa bodo v te velike projekte vpletene tuje osebe, imamo preiskovalne skupine, ki jih tvorimo s tujimi državami Joint investigation teams in tudi to je ena od institucij, ki pripomore k boljšemu odkrivanju tovrstnih dejanj. Omenjeno je bilo tudi že forenzično računovodstvo in vloga forenzike v teh postopkih, kar pomeni, ko se je premaknil tovrstni organizirani kriminal na višjo stopnjo, se na višjo stopnjo premaknjeno tudi organi pregona. Prav ta forenzika bi lahko pripomogla, vendar pa imamo vprašanja, kako te dokaze potem uporabiti v postopkih pred sodišči. Če vidim to novo institucijo kot vpliv drugih držav – bil sem na Islandiji takrat po tisti krizi –, seveda so ti primeri z Islandije dobri, vendar je bilo okolje tam nekoliko drugačno. Če gledamo primerjavo, kar se zdaj dogaja z Grčijo, na Islandiji so šli po drugi poti. Zavrnili so predlog angleških bank, da bi vrnili kredite angleškim vlagateljem in bili eno leto v krizi, vendar imeli so strašno podporo nevladnih organizacij in ljudstva, da gredo v ta projekt. In še več, imeli so strašno podpor ljudi, da začnejo razkrivati bančno luknjo. Če sledimo temu islandskemu modelu – kaj potrebujemo? Potrebujemo islandsko razmišljanje, skandinavsko razmišljanje, ki je odporno proti korupciji, potrebujemo pravega človeka, ki bo vodil to institucijo. Seveda moramo slediti finančnim tokovom in pa, kot tisto, da ne bomo vedno nove in nove institucije izmišljali, dajmo [[…]] [[znak za konec razprave]] v naše okolje. Hvala.",M_Negative,"The speaker details problems and possible solutions on the systemic corruption. The topic is obviously negative, but the speech itself just outlines the points that we already have in place and in the second part starts pointing out different points that still need to be addressed. So while this seems weakly positive or even neutral, it still has some negative connotation in it. The speaker does not offer explicit positions and just talks about ""what needs to be done"". I have a really hard time interpreting the sentiment in this speech.",TRUE,FALSE,
ParlaMint-SI_2021-01-27-SDZ8-Redna-22.u3,Hvala lepa. Zahtevo je kot matično delovno telo obravnaval Odbor za finance. Za predstavitev mnenja odbora dajem besedo predsedniku Robertu Polnarju.,P_Neutral,,,TRUE,
ParlaMint-SI_2021-07-08-SDZ8-Redna-24.u84,"Zaključna beseda. Proračunska varovalka, proračunsko financiranje javne zdravstvene blagajne v resnici ni nekaj, kar je zraslo na zelniku Levice kot nek nor socialistični ukrep, kot ga želijo nekateri v današnji razpravi slikati. To je pobuda, ki prihaja iz Zavoda za zdravstveno zavarovanje samega. Zavod za zdravstveno zavarovanje skupaj z bolnišnicami vsako leto sproti pripravlja splošne dogovore, v katerih se določi, kateri posegi se bodo izvajali, kje se bodo izvajali, koliko bodo te zadeve stale. Zato ima tudi približen pregled nad potrebami, ki v naši družbi obstajajo. In te potrebe so velike. Navsezadnje jih ugotavlja celo vladna koalicija, s tem ko želi na vrat na nos skrajševati čakalne vrste oziroma vsaj argumentira svoje zakonske akcije na način, kot da želi skrajševati čakalne vrste. Ampak te čakalne vrste se bodo skrajšale samo tako, da okrepimo javni zdravstveni sistem, kar pa pomeni dodatne investicije v prostorske kapacitete javnih bolnišnic, pomeni pa tudi dodatna sredstva za financiranje storitev, materiala, za kader in tako naprej. Od kod naj ta denar pride, če ne iz državnega proračuna. Koliko mi lahko zberemo iz prispevkov, to je neka omejena številka, poleg tega je odvisna od cikličnih gospodarskih gibanj. Proračun Republike Slovenije na drugi strani je pa veliko bolj robusten akumulator naših skupnih sredstev, vprašanje je le, kje so naše politične prioritete, da se ta naša skupna, iz davkov zbrana sredstva, investirajo. Vlada Janeza Janše pravi – zasebno zdravstvo in kupovanje orožja, Levica pravi – javno zdravstvo in zdravje kot človekova pravica.",Negative,The speech is defensive and at beginning and end accompanied with pretty harsh (and sarcastic) words. The middle is detailing facts (as per the speaker) and is relatively neutral.,,FALSE,
