id,text,timestamp_tamara,flagged_tamara,comment_tamara,tag_tamara,timestamp_anze,flagged_anze,comment_anze,tag_anze,timestamp_katja,flagged_katja,comment_katja,tag_katja,rev_tamara,rev_anze,rev_katja,final_tag
51,"Jaz temu delu v celoti nasprotujem, mislim, da ni dovolj premišljen ukrep z vsemi možnimi učinki.",2023-02-28 10:58:59,,,Negative,2023-02-28 10:59:08,,,Negative,2023-02-28 10:58:57,,,Negative,Firm opposition - negative.,the speaker's argument,Opposition - negative.,Negative
52,"Izvršilna oblast, vaša naloga je izvršilna, operativna.",2023-02-28 11:00:05,,"No direct sentiment by the speaker. The statement itself is positive, there may be slight sarcasm.",P_Neutral,2023-02-28 10:59:45,,Secons part is kind of negativ,N_Neutral,2023-02-28 10:59:35,,"Statement, but sounds as criticism.",N_Neutral,"Okay, since I think I overlooked that it repeats ''izvršilna oblast'' twice. With that in mind I'd change the sentiment to Negative - repetition, but remain in the neutral category. N_Neutral",Secons part is kind of negativ,"Neutral statemenet, but second part implies criticism, N_Neutral.",N_Neutral
53,"Za katero pa se borimo, je možno, da nekoč dobimo nazaj.",2023-02-28 11:01:17,,"No direct opinio by the speaker, but I think its implied - positive.",Positive,2023-02-28 11:00:48,,No special filinga negativ or positive,N_Neutral,2023-02-28 11:00:17,,"Statement, but speaker weakly expresses hope",P_Neutral,Could be neutral since the opinion of the speaker is simply implied but not necessarily spoken or clearly shown. But the sentiment is definitely positive. P_Neutral,"Speakr opinion is mostly negativ, but it's not really positiv or negativ","As opinion is simply implied, I would stick with P_Neutral (I agree that the implied sentiment is positive)",P_Neutral
54,"Predlagani zakon ne pomeni bistvenih vsebinskih premikov, kljub temu pa ne moremo reči, da je nepomemben ali celo nepotreben.",2023-02-28 11:02:33,,"First part weak negative, second part positive.",M_Positive,2023-02-28 11:01:44,,The second part tells that the law is positiv,P_Neutral,2023-02-28 11:01:07,,"First part slightly negative, second part mostly positive.",M_Positive,Leans on the positive side (because of the second part) but it falls into the mixed category: first part is negative and second in positive. M_Positive,"First part slightly negative, second part mostly positive.","I agree that it has two (mixed) sentiments, first part negative, but second positive; M_Positive",M_Positive
55,"Torej, čez jarek ni mogoče skočiti v dveh skokih.",2023-02-28 11:03:17,,"Clear sarcasm, no actual opinion by speaker.",P_Neutral,2023-02-28 11:01:59,,S,Negative,2023-02-28 11:01:46,1.0,,N_Neutral,"Here I put positive, because without context I couldn't judge the positive/negative emotion, but since it's clearly sarcastic It is probably truly more on the Negative side. N_Neutral","Speakr opinion is mostly negativ,with a sarcasem","Reading it again, I agree that there is clear sarcasm, but I would still say it has negative sentiment; but am still unclear on the strenght of the sentiment; would suggest N_Neutral(S) or even Negative(S).",N_Neutral(S)
56,"Ugotavljamo, da v zakonu pravzaprav vse predvidevajo sredstva, ki so znana že danes in jih pravzaprav se koristi za odpravo nesreč po neki ustaljeni praksi.",2023-02-28 11:05:45,,"No opinion by speaker, but implied positive connotation (sentiment and consequence)",Positive,2023-02-28 11:02:40,,Speaker opinion,P_Neutral,2023-02-28 11:02:56,,"Statement, but not negative per se.",P_Neutral,The sentance itself is positive. Positive or P_Neutral,"No opinion by speaker, but implied positive connotation (sentiment and consequence)","I still lean more on neutral position, but with expressed positive sentiment, P_Neutral.",P_Neutral
57,"Me zanima, kako pa zdaj bolnišnice vmes nabavljajo.",2023-02-28 11:07:33,,"Withouth context, a sarcastic question with negative connotation.",N_Neutral,2023-02-28 11:03:02,,S,Negative,2023-02-28 11:03:12,,Sarcasm.,N_Neutral,"A sarcastic question that leans on the negative side, but the speaker didn't really express opinion. N_Neutral","Speakr opinion is mostly negativ,with a sarcasem","I agree with Tamara, I would suggest N_Neutral; though the implied negative sentiment could also be purely Negative(S).",N_Neutral(S)
58,"Tukaj se je nekako šlo na roko, da se to ne opredeljuje kot neke turistične zadeve.",2023-02-28 11:08:16,,"No opinion by speaker, negative connotation though.",N_Neutral,2023-02-28 11:04:08,,,M_Positive,2023-02-28 11:04:06,,,Negative,"No opinion by speaker, but ''neke turistične zadeve'' has a negative connotation for me. N_Neutral","The speaker is talking about some tourism matters, i.e. something that is positive for the country",I do agree that there is no directly expressed opinion by the speaker; but with negative connotation; would suggest N_Neutral,N_Neutral
59,"Se pravi, zgodila se je panika in v tem smislu so bili članki na nek način prerokba, ki se sama uresniči.",2023-02-28 11:08:36,,,Negative,2023-02-28 11:04:23,,Speaker opinion,M_Positive,2023-02-28 11:05:19,,"Statement, might be speakers' opinion, but not clear.",N_Neutral,"I stand by my negative declaration. The usage of the words ''panika'' and ''prerokba'', especially in this sentance makes me think it was meant as a negative thing. Negative",Speaker opinion,"Yes, I agree with Tamara and would change my N_Neutral to Negative.",Negative
60,"Nadaljnji razlog za sprejem tega zakona je, da je Vlada Republike Slovenije decembra leta 2000 sprejela pogajalsko izhodišče, vezano za področje 4, to je prost pretok kapitala.",2023-02-28 11:09:07,,"No opinion by the speker, seems positive connotation.",P_Neutral,2023-02-28 11:05:05,,The law was past,P_Neutral,2023-02-28 11:06:10,,"Statement, no opinion of the speaker.",P_Neutral,"No opinion, just a statement, but since there is nothing negative in it, I'd consider it positive. P_Neutral",Speaker opinion which is more positiv,Seems like we all agree with P_Neutral; I agree with explanation Tamara provided.,P_Neutral
61,"Če je prišlo pri vseh gimnazijah, vas prosim, spoštovani minister, če nas lahko seznanite z zakonsko podlago, na podlagi katere ste izvršili to znižanje.",2023-02-28 11:10:51,,"Sarcasm ""spostovani minister"", negative sentiment.",Negative,2023-02-28 11:05:44,,Argumennt,Negative,2023-02-28 11:06:46,,Sarcasm,Negative,Sarcastic and negative. ,Negativ sarcasem,We're in agreement - Negative(S),Negative(S)
62,"Ampak pomemeben poudarek pri tem, kar je zame osebno bolj pomembno, ker teh odstotnih točk smo bili nekako vajeni v prejšnji vladi in ljudem niso kaj veliko pomenile.",2023-02-28 11:12:28,1.0,Hard to judge with no context.,M_Negative,2023-02-28 11:06:51,,Argumennt,M_Negative,2023-02-28 11:08:14,,"Speakers opinion expressed, but not clear what that opinion is.",N_Neutral,"Weirdly phrased statement: mixed because: ''zame bolj pomembno'' is positive, but second part is negative. M_Negative",It's an argumennt with no context.,"Rereading the sentence, I can see the mixed sentiment, agree with Tamara (first part positive, second part negative); agree with M_Negative",M_Negative
63,"Je pa po navadi osebnostno izčrpavanje hujše, ko človek ve, da nekaj ne dela dobro; takrat je veliko bolj izčrpan kot sicer, to pa vam lahko povem.",2023-02-28 11:12:44,,,Negative,2023-02-28 11:07:42,,Speaker opinion,M_Negative,2023-02-28 11:08:37,,,Negative,Both parts very negative. ,"Speaker opinion, 
I agree with Katja's comment","Expressed opinion, overall tone of the sentence is very negative; Negative",Negative
64,"Tudi v razpravi o primeru Zavgajev vladna politika ni dovolila, da bi navadno človeško sočutje do čečenskih žrtev kakorkoli vplivalo na politično odločitev.",2023-02-28 11:13:03,,Clear negative.,Negative,2023-02-28 11:08:27,,Argumennt on the topic of war,Negative,2023-02-28 11:09:14,,Possible sarcasm?,Negative,Negative.,"Argumennt on the topic of war, which is negativ","I cannot see mixed sentiments in the sentence, I would stand with Negative",Negative
65,"To sporočate ob tem zakonu in važno je, da veste, kaj vam sporoča minister, ki naj bi skrbel za vas.",2023-02-28 11:14:31,1.0,"First part could be positive, second negative. Could also be positive sentiment.",M_Negative,2023-02-28 11:09:09,,,N_Neutral,2023-02-28 11:10:41,,"No speakers opinion, but tone is slightly negative.",N_Neutral,"I'd change to neutral negaitive, because no opinion by speaker. N_Neutral","I'd change to neutral negaitive, because no opinion by speaker. N_Neutral",No opinion of the speaker; tone negative; I would keep N_Neutral,N_Neutral
66,"Našteto seveda ima za posledico proračunski primanjkljaj in potrebo po dodatnem, a vendar še obvladljivem zadolževanju.",2023-02-28 11:15:28,,Second part (positive) is maybe stonger the first (negative).,P_Neutral,2023-02-28 11:10:49,0.0,Speaker opinion,N_Neutral,2023-02-28 11:11:26,1.0,No speakers opinion.,N_Neutral,I considered ''še vedno obvladljivem'' as overall positive. P_Neutral,speakers opinion mostly negativ because of the word ''posledico''.,"I would change my initial tag to P_Neutral, as I agree that the subject might be negative, but as Tamara said, ""še vedno obladljivem"" is still positive, which changes the tone of the sentence.",P_Neutral
67,"Zato še enkrat ponavljam: rešitev je na mestu, je pa preskromna, premalo ambiciozna in nezadostna.",2023-02-28 11:16:33,,"The ""resitev je na mestu"" is positive, but second part is much stronger in the negative sentiment.",Negative,2023-02-28 11:11:11,,,Negative,2023-02-28 11:12:15,,"First part positive, but very negative in the second part.",M_Negative,"The ""resitev je na mestu"" is positive, but second part is much stronger in the negative sentiment.","Speaker opinion, which is mostly negativ espesicaly the second part","I would agrue there are still mixed sentiments in the statement, but yes, the second part is very strong  - I would change my initial tag to Negative",Negative
68,"Zdaj pa, prvič v zgodovini UKC Ljubljana takšna izguba, 25-milijonska.",2023-02-28 11:16:41,,,Negative,2023-02-28 11:11:26,,,Negative,2023-02-28 11:12:22,,,Negative,"No comment, strong negative.",Agree with Tamara in Katja,Strong negative; Negative,Negative
69,220 milijonov evrov letno za potrebni vsakoletni prihranek za doseganje srednjeročnega javnofinančnega cilja.,2023-02-28 11:17:48,,No opinion by speaker. A lot of money - may be negative sentiment.,N_Neutral,2023-02-28 11:11:56,1.0,,P_Neutral,2023-02-28 11:13:38,,"Factual statement, but implies negatve consequences, no direct opinion of the speaker.",N_Neutral,"No opinion by speaker, but negative sentiment. N_Neutral","No direct opinion of the speaker, the second part is for me positiv because of the words ''doseganje cilja''","Statement, no direct opinion by the speaker, with negative sentiment - N_Neutral",N_Neutral
70,"Nobenega razloga ni, da bi socialno šibki najemniki pokrivali stroške davka za lastnike, ki so z denacionalizacijskimi postopki pridobili včasih tudi zelo veliko premoženje.",2023-02-28 11:18:21,,"No opinion, but implied negative.",Negative,2023-02-28 11:12:21,,Speaker opinion,Negative,2023-02-28 11:14:36,1.0,Implied opinion of the speaker.,Negative,"No direct opinion (may be implied), but strong negative sentiment. ","No opinion, but implied negative.",We're in agreement - Negative,Negative
71,"Hvala lepa in to sem samo želela pojasniti, zato sem vpisovala napore v zvezi z amandmaji.",2023-02-28 11:18:43,,,Positive,2023-02-28 11:12:44,,S,Negative,2023-02-28 11:15:27,,"No direct opinion, implied positive sentiment.",P_Neutral,"Nothing that I would consider negative. At  most I'd change to neutral, but still with a positive sentiment. P_Neutral","The sign was changed to N- Neutral, since the speaker does not express an opinion, but it seems to me that the sentence was still intended as sarcasm (which could only be understood from the recording of the speech)","I cannot see negative sentiment in this, I would say that without the context, I would stick with P_Neutral.",P_Neutral
72,"To podpiše vsak državni sekretar na Ministrstvu za finance, ne samo mag. Saša Jazbec, Natalija Kovač Jereb, Metod Dragonja in mag. Alojz Stan.",2023-02-28 11:18:53,,,Positive,2023-02-28 11:13:12,,Speaker opinion,N_Neutral,2023-02-28 11:16:12,,"Sarcasm, no direct opinion.",N_Neutral,"Why is this positive?? Second part has a negative sentiment, may be some sarcasm. N_Neutral",Just Speaker opinion,"I would stick with my argumentation and tag in the Comments, no direct opinion with negative connotation and sarcasm.",N_Neutral(S)
73,"Policist bo ostal pa isti, ker bo to delal 30 in več let, in se praska po glavi, ali je nekaj vznemirljivo ali ni vznemirljivo.",2023-02-28 11:19:31,,Sarcasm.,Negative,2023-02-28 11:13:41,,S,Negative,2023-02-28 11:17:08,,Sarcasm. No directly expressed opinion of the speaker.,N_Neutral,Very negative + sarcasm. ,Very negative + sarcasm. Agree with Tamara,"I do agree it is negative and with implied speakers opinion, I would change my tag to Negative(S)",Negative(S)
74,"Sam tudi zagovarjam, čeprav tega nikjer ne piše, da relativni zmagovalec volitev prvi dobi priložnost za sestavo vlade.",2023-02-28 11:19:41,,,Positive,2023-02-28 11:13:59,,,Positive,2023-02-28 11:18:46,1.0,"Speakers' opinion, first part positive, second part slightly negative with third part a factual statement.",M_Positive,Positive sentiment and outcome + expressed opinion of the speaker. Positive,"Positiv opinion for speaker him self, mostly becasue of the second part ''relativni zmagovalec volitev ''","I agree, the positive sentiment is prevailing in the sentence, would change to Positive. ",Positive
