id,text,timestamp_tamara,flagged_tamara,comment_tamara,tag_tamara,timestamp_anze,flagged_anze,comment_anze,tag_anze,timestamp_katja,flagged_katja,comment_katja,tag_katja,rev_tamara,rev_anze,rev_katja,final_tag
201,"In to je, kot sem rekel, tisto, kar bo tudi v nadaljevanju vedno znova in znova poganjalo ideje o novih občinah.",2023-03-08 14:09:08,,"Opinion is implied, positive sentiment.",Positive,2023-03-08 14:09:14,,Speaker opinion. It's on positiv side because the second part has the word ''poganjalo'' in it.,P_Neutral,2023-03-08 14:08:37,,"Kot sem rekel - speakers opinion, so positive",Positive,I agree with Katja's initial comment. ''Kot sem rekel'' shows that this is a clear opinion by the speaker. The sentiment is positive and hopeful. Positive. ,"Maybe I didn't perceive the speaker's direct opinion in the text, that's why I also marked Nevtral. But I agree with Katja and Tamara.  Positive.",I would stick with my initial label - Positive,Positive
202,"Slednje se odraža tudi v sami vsebini, ki je pomanjkljiva in v določenih segmentih nedodelana.",2023-03-08 14:10:07,,"Implied opinion, negative sentiment.",Negative,2023-03-08 14:11:56,,"The statment is negativ, but it's neutral because there is no direct speaker opinion",N_Neutral,2023-03-08 14:08:48,,,N_Neutral,"Here I'd probably change to N_Neutral. I sort of felt that the opinion is implied, but I agree that it's a very vague sentance. N_Neutral.","The statment is negativ, but it's neutral because there is no direct speaker opinion. N_Neutral","I think the speakers opinion is not directly expressed, and it leans on the negative side, so I would stick with N_Neutral",N_Neutral
203,"Krščanski demokrati smo dolžni opozoriti na ponavljajoče zavajanje in oporekanje predlagateljev glede odločitve stroke znotraj Policije, da naj prvič aktivira policijska pooblastila za prepoved gibanja na vnaprej določenih javnih mestih.",2023-03-08 14:12:18,,"Negative theme, negative sentiment ""zavajanje, oporekanje"". Also implied opinion ""smo"".",Negative,2023-03-08 14:15:06,,Negativ statment and negativ sentiment of the speaker,Negative,2023-03-08 14:11:11,,We (KS) - implied speakers opinion,Negative,"We all agree here. ''We'' implies opinion, which is very negative. ",Negativ statment and negativ sentiment of the speaker. Negativ,We're in agreement - Negative,Negative
204,"Prav preko vikenda je bila slovenska javnost šokirana z dejstvom, da je ena tako imenovana gradbena baronica zaradi procesnih napak zapustila pripor.",2023-03-08 14:15:07,,Maybe sarcasm,N_Neutral,2023-03-08 14:16:57,,"The sentens is not direct opinion of the person. But for me sentens is the public opinion with negativ side, thats why it's neutral",N_Neutral,2023-03-08 14:11:44,,No implied speakers opinion but negative sentiment,N_Neutral,It represent opinion or reaction of the public and not the speaker. We agree. N_Neutral.,"The sentens is not direct opinion of the person. But for me sentens is the public opinion with negativ side, thats why it's neutral. N_Neutral",We're in agreement - N_Neutral,N_Neutral
205,"Preprosto zaradi tega, ker je že danes država zelo velikodušna do nekaterih, ki uživajo popolno zaščito, socialno zaščito.",2023-03-08 14:16:40,1.0,"Although there is no specific negative words, for me the ""preprosto zaradi tega"" implies negative sentiment towards the topic.",N_Neutral,2023-03-08 14:17:16,,,Negative,2023-03-08 14:12:39,,"Statement without implied speakers opinion, with no clear negative sentiment.",P_Neutral,"I'll have to reafirm my first comment. To me the first part ''Preprosto zaradi tega, ker je že danes'' implies that the sentiment behind this sentance must be negative. I's a very broad statement though so I'd have to remain with N_Neutral",I myself perceived that the text was intended as an address to the parliament by the speaker. That's why I marked negative. Negative,"Upon reading the sentence again, I think that I would change my label to N_Neutral, as the speakers opinion is maybe only implied and yes, it does have negative connotations",N_Neutral
206,Posojili krč še traja in s tem zavira tudi oživitev jamstvene sheme.,2023-03-08 14:17:30,,"Maybe transcription error ""posojilni"". Negative sentiment, implied opinion.",Negative,2023-03-08 14:18:15,1.0,I can't understand what's the point of the sentence,N_Neutral,2023-03-08 14:16:04,,"Possible transcription error, only weakly implied statement with negative connotation",N_Neutral,"To me this is a very negative sentance, but I think that majority rule will be applied here. Negative.",I can't understand what's the point of the sentence. Like Tamara wrote maybe error. N_Neutral,"I would still stick with N_Neutral, though I can see why one could also precieve this as Negative; N_Neutral",N_Neutral
207,"Mora biti vrednota za vsakogar, za vsakega otroka, za vsako učiteljico mora biti samoumevno, da je dvig slovenske zastave veličasten trenutek.",2023-03-08 14:18:28,,"Implied opinion, not just a factual statement. Positive sentiment.",Positive,2023-03-08 14:20:35,,Speakers opinion with maybe S,N_Neutral,2023-03-08 14:19:59,1.0,"Moralisation and preachiness, but the sentiment is unclear, depends on intonation. As there is no explicit opinion and negative sentiment I would suggest P_Neutral",P_Neutral,I think that the reiteration of certain words and  the verve of this speach implies that this is very much the speakers opinion and a positive one at that. At this point I'd stick with positive. ,"I think that the sentence is meant to be mocked, that's why I marked it as Negative. But i would change it's becasue it's has spekers opinion. Negativ","I agree with Tamara - I was between P and P_N labels, but as Tamara points out, the iteration as well as the choice of strong words (veličasten trenutek) implies positive opinion; Positive",Positive
208,"Šokantnost dogodkov nas prisiljuje, da začenjamo razumevati, kako nezanesljive so naše osnovne, široko sprejete predpostavke.",2023-03-08 14:20:49,,"Implied sentiment, negative sentiment.",Negative,2023-03-08 14:21:48,,Negativ spekers opinion,Negative,2023-03-08 14:20:05,,"Nas - implied speakers opinion, negative sentiment",Negative,"Implied, very negative opinion by the speaker. We agree. Negative.",The world ''Nas'' is implied spekers opinion. Overall the statment is ment in negativ way. Negativ,We're in agreement -Negative,Negative
209,"Zato se mi zdi vsa ta telovadba in izgubljanje časa, ko je začel že kolega Bevk, brezpredmetno in resnično podaljševanje seje.",2023-03-08 14:21:17,,"Clear opinion, negative sentiment.",Negative,2023-03-08 14:22:15,,S,Negative,2023-03-08 14:20:51,,,Negative,"Implied, very negative opinion by the speaker. We agree. Negative.",Agree with Tamara,We're in agreement -Negative,Negative
210,"Takšen razlog zagotovo ne more prepričati ne mene ne nobenega drugega, še posebej, ker tukaj ni bilo vprašanja finančnih sredstev.",2023-03-08 14:22:08,,"Clear negation ""ne more"", pronouns ""mene"", negative sentiment.",Negative,2023-03-08 14:24:23,,,N_Neutral,2023-03-08 14:21:19,,"Speakers opinion, negative connotation",Negative,Negation ''ne more'' and pronounse used ''me'' heavily implies speakers opinion. The sentiment is also clearly negative. Negative.,"On the second reading the statment has spekers opinion ''ne more prepričati ne mene'', but yes it's is in negativ. Negativ","Ok, I stick with my first label as well, so Negative",Negative
211,"Targetiranje deleža pa povzroča še večji zamik v odločitvah, se pravi, pri tem deležu lahko potem šele sčasoma ugotovimo, ali mu lahko sledimo ali ne.",2023-03-08 14:25:42,1.0,On the fence between negative and N_Neutral.,N_Neutral,2023-03-08 14:26:18,,"Statment is for me negativ, but does not embody the strong feeling of the speaker",N_Neutral,2023-03-08 14:22:14,,Implied speakers opinion and only weak negative sentiment.,N_Neutral,The sentiment is clearly negative. I agree with Anže and Katja in their initial comment. While the speaker's opinion may as well be implied it is a very weak implication and thus we all agree with N_Neutral.,"Statment is for me negativ, but does not embody the strong feeling of the speaker. N_Neutral","As per my initial comment, N_Neutral",N_Neutral
212,"Torej, ta ustavna obtožba ne bo dobila podpore niti pri Novi Sloveniji.",2023-03-08 14:25:58,,"Implied opinion, negative sentiment.",Negative,2023-03-08 14:28:07,,"Negativ opinion, but you can't be shore from this sentens if the statment is from one or the other party",N_Neutral,2023-03-08 14:25:20,1.0,"Authorship is unknown, so maybe only implied speakers opinion, but the tone is pretty negative.",Negative,"I agree with Anže's first comment that we cannot be sure who's opinion this is, but I feel like the negativity of this sentance's sentiment is string enough to hold the label Negative. ","Negativ opinion, but you can't be shore from this sentens if the statment is from one or the other party. For that i was sure if spekers opinion is in sentence. N_Neutral","I agree with Anže that authorship is confusing and that we cannot say whether the opinion expressed is the speakers, but I agree with Tamara /stand by my initial label, that the tone is simply too strong to be neutral; Negative",Negative
