id,text,timestamp_tamara,flagged_tamara,comment_tamara,tag_tamara,timestamp_anze,flagged_anze,comment_anze,tag_anze,timestamp_katja,flagged_katja,comment_katja,tag_katja,rev_tamara,rev_anze,rev_katja,final_tag
101,"Govorimo samo o višjih davkih, ki je najlažja in pa hkrati seveda najmanj priljubljena pot, hkrati pa pozabljate, da je treba povečati število plačnikov davkov v državno blagajno.",2023-03-02 13:08:30,,"Maybe not the strongest, but opinion is heavily implied.",Negative,2023-03-02 13:09:12,,First part is for me more negativ because of the the words ''najmanj priljubljena''.,M_Negative,2023-03-02 13:09:14,,,Negative,"Maybe not the strongest statement, but opinion is heavily implied and the sentiment seems negative. Negative. ",First part is for me more negativ because of the the words ''najmanj priljubljena''.,"Overall tone of the statement is negative, with the opinion heavily implied, so I would stick with Negative",Negative
102,"Popolnoma vseeno mu je, če njegov kolega propade, skratka, vsa podjetniška viteška drža je v tej državi izginila.",2023-03-02 13:08:50,,Maybe some sarcasm.,Negative,2023-03-02 13:09:40,,,Negative,2023-03-02 13:09:22,,,Negative,Opinion very clear. Negative. ,Negativ comment,Negative,Negative
103,Z vsemi nadaljnjimi političnimi improvizacijami se bo problem migracij samo še slabšal.,2023-03-02 13:09:42,,"Opinion is not directly stated, but it is implied.",Negative,2023-03-02 13:09:54,,,Negative,2023-03-02 13:10:11,,Statement but implied negaitve sentiment /opinion of the speaker,Negative,Implied opinion. Negative. ,Implied opinion. Negative. ,Statement but implied negaitve sentiment /opinion of the speaker. Negative,Negative
104,"Še tisto malo, kar je ostalo od Slovenije od leta 1992 do danes, so uspešno uničili.",2023-03-02 13:09:53,,,Negative,2023-03-02 13:10:11,,,Negative,2023-03-02 13:10:20,,,Negative,Again opinion is obvious. Negative. ,Implied opinion. Negative. ,"Agreement, Negative",Negative
105,"Grafično privlačna embalaža namreč spodbuja nekadilce, predvsem mladostnike in mlade odrasle, da začnejo kaditi.",2023-03-02 13:11:26,1.0,This is a hard one. The statement itself is not really negative - could also be N_positive.,N_Neutral,2023-03-02 13:12:57,,Speaker is talkig about unpopular or negativ things. But it's mix for me because you can't see his point of view in this.,M_Negative,2023-03-02 13:10:53,,"Statement with impled negative consequences, but no direct opinion of the speaker",N_Neutral,I agree with Anže that we can't really see the point of view of the speaker and thus I consider this neutral. Since the consequences and topic is negative I'd stick with N_Neutral. ,Speaker is talkig about unpopular or negativ things. But it's mix for me because you can't see his point of view in this.,"I do agree that the statement is vague, and no direct opinion is  expressed - but the tone/topic is negative, so I would stick with N_Neutral",N_Neutral
106,"Zdaj pa vi s pozicije moči očitno želite skrajšati to razpravo in nek normalni uvod, ki bi tudi omogočil normalno razpravo tu v Državnem zboru.",2023-03-02 13:12:40,,"Implied opinion. ""zelite skrajsati...normalno razpravo"" - very negative.",Negative,2023-03-02 13:12:59,,Negativ speaker opinion,N_Neutral,2023-03-02 13:11:40,,Accusation with negative connotation,Negative,It's an accusation and negative opinion for me is clearly implied. Negative. ,Negativ speaker opinion,"I agree with Tamara, I think due to the clearly implied negative opinion it is really Negative",Negative
107,"Zato menim, da so koraki, ki so načrtovani, zastavljeni v pravilni smeri.",2023-03-02 13:12:49,,Hopeful.,Positive,2023-03-02 13:13:10,,,Positive,2023-03-02 13:12:20,,Explicit opinion of the speaker (zato menim),Positive,"Hopeful, opinion is clear. Positive.",Positiv opinion on the topic,"Agreement, Positive",Positive
108,"Gre za kategorijo naših državljank in državljanov, ki jih je življenjska usoda v preteklosti tako ali drugače za marsikaj prikrajšala.",2023-03-02 13:13:16,,"Just a statement, no opinion.",N_Neutral,2023-03-02 13:14:17,,"I can't make out the goblin's shoes, but as for the theme, this one is more negative",N_Neutral,2023-03-02 13:12:56,,"Negative sentiment, but no direct opinion of the speaker.",N_Neutral,"No direct opinion, but clear negative sentiment. N_Negative.","Negative sentiment, but no direct opinion of the speaker. (wrong statment at first)","We're in agreement, N_Neutral",N_Neutral
109,"Morda za začetek, bo tudi pomagalo mojemu predhodniku, v pravu ločijo tako imenovani soft lo in tako imenovani ""hard law"".",2023-03-02 13:13:49,,Sarcasm.,Negative,2023-03-02 13:14:40,,,P_Neutral,2023-03-02 13:13:45,,"No direct opinion by the speaker, but no negative connotation, therefore positive",P_Neutral,I'd have to stick with negative connotation. Why would one need to explain the particles of law to his predecesor. And just the usage of the phrase ''Morda za začetek.''  At most I'd change it to N_Neutral. ,"No direct opinion, but maybe on more postiv side.","Reading it again, I do think it might be sarcasm, as Tamara pointed out (""Morda za začetek""), so I would agree that it is Negative(S)",Negative(S)
110,"Torej študij na univerzi je javno dobro in odgovorno je ""public good"".",2023-03-02 13:14:29,,"Just a statement, could also be just positive.",P_Neutral,2023-03-02 13:14:55,,,Positive,2023-03-02 13:13:53,,,Positive,"I don't see opinion here, but the majority rule will probably prevail here and therefor Positive. ","Positiv opinion on the topic ( ""public good"".)","I would agree that it is a statmenet more than opinion, but I do think that the opinion is at least implied with an overall positive tone. I would consider P_Neutral",P_Neutral
